SnapshotID,FileID,ParentDirectoryID,FileNameHash,FileExtension,FileType,Unknown,FileSize,AllocatedSize,Timestamp,ClusterSize,Attributes,Meta,FileDate,FileSizeMB,FileAgeYears
1,000e46ce402500409354,39c4a71ba8949d8e0a2d,39c4a71ba8949d8e0a2d,604879208,c,NTFS,2932253696,4310013952,126142230903260000,512,459007,502,2000-09-23 22:51:30.325999975,2796.4150390625,4.482191780821918
7,0ae9d8ff4a2fde36885c,3455bd0b4c1501c7d899,06fcb9effa6b460f60e9,773854956,c,FAT32,5109891072,8430841856,126137892909020000,4096,6,502,2000-09-18 22:21:30.901999950,4873.171875,4.495890410958904
12,0f8bc5a91a518d0461cf,66fc28d1b3a538385a2d,eb17bfe0ed80e9c43f34,618801528,f,NTFS,7059025920,18194284544,126134307922350000,4096,459007,198,2000-09-14 18:46:32.235000014,6732.01171875,4.506849315068493
13,0f8bc5a91a518d0461cf,66fc28d1b3a538385a2d,eb17bfe0ed80e9c43f34,-1878414956,c,NTFS,1083307520,2146765312,126134307738280000,512,459007,198,2000-09-14 18:46:13.827999949,1033.12255859375,4.506849315068493
14,0f8bc5a91a518d0461cf,66fc28d1b3a538385a2d,eb17bfe0ed80e9c43f34,-1604198837,d,NTFS,5591822336,6950326272,126134307850470000,4096,459007,198,2000-09-14 18:46:25.047000051,5332.77734375,4.506849315068493
15,0f8bc5a91a518d0461cf,66fc28d1b3a538385a2d,eb17bfe0ed80e9c43f34,-57523550,e,NTFS,7493787648,9088901120,126134307858130000,4096,459007,198,2000-09-14 18:46:25.812999964,7146.6328125,4.506849315068493
19,a321a37d53bf78ba06b0,5c1e45ec5c9ffbec8cd6,9ea077c20c797d6e2694,1756212263,c,NTFS,4929140224,9097126912,126137766984230000,512,459007,502,2000-09-18 18:51:38.422999978,4700.79443359375,4.495890410958904
31,a28f801073caf17bfcd1,c3ce2857cb25c266b882,eb17bfe0ed80e9c43f34,155196397,d,FAT,4194304,2146467840,126137766445040000,32768,6,198,2000-09-18 18:50:44.503999949,4.0,4.495890410958904
32,a28f801073caf17bfcd1,c3ce2857cb25c266b882,49243ede2e27b3f8a088,-1331289289,c,NTFS,634527744,2146765312,126137765671910000,512,459007,198,2000-09-18 18:49:27.190999985,605.1328125,4.495890410958904
113,0f37d3c73b0d2b79d59c,ae80b3f84106ea3c2215,ae80b3f84106ea3c2215,959453660,c,FAT32,2727776256,5992685568,126133487888900000,4096,6,198,2000-09-13 19:59:48.889999986,2601.41015625,4.50958904109589
